id;descrição;imagem;enunciado;resposta;resposta_errada1;resposta_errada2;resposta_errada3;tipo_de_resposta;coordenadas;shape;assunto;subassunto1;subassunto2;subassunto3;subassunto4;subassunto5
1;Isto é um platelminto em corte transversal.;acelomado_corte.png;Como se classifica este animal quanto a cavidades internas?;Acelomado;Celomado;Pseudocelomado;Sorteio;classificacao;235,164,23;circle;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;acelomados;;;
2;É do gênero Asplanchna e é pelágico.;asplanchna.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;139,200,139,234,135,257,123,279,112,290,112,300,110,312,96,314,95,331,76,334,75,355,71,372,92,378,110,371,120,369,128,371,151,351,163,341,154,327,152,313,158,300,162,286,160,278,171,275,177,266,168,253,160,247,161,238,149,245,146,209;poly;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
3;É do gênero Chaetonotus.;chaetonotus.png;De que filo é este animal?;Gastrotricha;Sorteio;Sorteio;Sorteio;filo;103,53,198,149;rect;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
4;A figura mostra duas formas de reprodução de um rotífero da classe Monogononata.;ciclo_de_monogononta.png;Como é chamada a reprodução por partenogenese mostrada no ciclo com seta escura?;Amíctica;Sorteio;Sorteio;Sorteio;forma_de_processo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
5;É uma espécie séssil chamada Collotheca ornata.;collotheca_ornata.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
6;É um verme marinho do gênero Echinoderes.;echinoderes_corte.png;De que filo é este animal?;Kinorhyncha;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
7;Isto é um ascaris.;espicula_copulatoria_ascaris.png;Que estrutura é essa?;Espícula copulatória;Sorteio;Sorteio;Sorteio;estrutura;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
8;Isto é a representação simplificada de uma minhoca em corte transversal.;eucelomado_corte.png;Como se classifica este animal quanto a cavidades internas?;Eucelomado;Sorteio;Sorteio;Sorteio;classificacao;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
9;Isto é a extremidade anterior de um ascaris.;extremidade_anterior_ascaris.png;Que estrutura é essa?;Lábios;Sorteio;Sorteio;Sorteio;estrutura;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
10;Animal em corte sagital para visualizarmos seu interior.;gatrotricha_corte.png;De que filo é este animal?;Gastrotricha;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
11;É um verme marinho.;kinorhyncha.png;De que filo é este animal?;Kinorhyncha;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
12;É achatado dorsoventralmente e apresenta longas cerdas. É do gênero Macrochaetus;macrochaetus.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
13;Esta é a área da faringe de um rotifero.;mastex_de_synchaeta.png;Que estrutura é essa?;Mástax;Sorteio;Sorteio;Sorteio;estrutura;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
14;É da espécie Philodina roseola;philodina_roseola.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
15;Isto é a representação simplificada de um nematodeo em corte transversal.;pseudocelomado_corte.png;Como se classifica este animal quanto a cavidades internas?;Pseudocelomado;Sorteio;Sorteio;Sorteio;classificacao;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
16;Possui o corpo alongado e uma projeção transparente que recobre a cabeça. É do gênero Squatinella.;squatinella.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
17;Possui cinco lobos coronais alongados e ornados por cerdas. É do gênero Stephanoceros.;stephanoceros.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
18;Verme pseudocelomado. É do gênero Trichotheristus.;Trichotheristus.png;De que filo é este animal?;Nematoda;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
19;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Que fase é composta pela mitose e a citocinese?;Fase M;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
20;Esta é uma célula em processo de divisão.;Biologia celular II/ciclo celular/citocinese.png;Qual o nome do processo em que a membrana plasmática se estrangula, dividindo o citoplasma, suas organelas e estruturas, entre as células-filhas.;Citocinese;Sorteio;Sorteio;Sorteio;processo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
21;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;De que fases é composto o período da interfase?;G1, S e G2;G1, P e G2;G1,G2 e M;G, S e M;conjunto_fases_ciclo_celular;216,113,198,135,194,126,179,128,156,131,131,141,107,155,93,167,83,180,78,191,87,196,86,213,78,212,83,225,98,241,119,255,139,264,154,268,172,272,173,281,196,267,196,276,214,277,247,276,274,270,297,263,319,253,340,237,355,219,359,198,347,174,322,152,218,198,216,120;poly;Biologia Celular II;Ciclo Celular;;;;
22;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Em que período, ocorre a síntese de componentes celulares citoplasmáticos e a duplicação do DNA?;Intérfase;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
23;Na fase M há o processo de divisão da célula.;Biologia celular II/ciclo celular/fase m.png;Quanto tempo aproximadamente dura a fase M em mamíferos?;1h;12h;24h;48h;tempo;-;-;Biologia Celular II;Ciclo Celular;;;;
25;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Em que fases a  célula cresce para recuperar o volume que a célula-mãe tinha antes da divisão?;G1 e G2;G e S;M1 e S1;G1 e S1;conjunto_fases_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
26;A fase S é aquela em que há a duplicação dos cromossomos.;Biologia celular II/ciclo celular/duplicacao.png;Por quê a fase S recebe este nome?;Síntese;Sinestesia;Sistêmica;Saprófita;significado;-;-;Biologia Celular II;Ciclo Celular;;;;
27;Para que a célula possa se dividir, os cromossomos são duplicados.;Biologia celular II/ciclo celular/duplicacao.png;Em que fase do ciclo celular os cromossomos são duplicados?;Fase S;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
28;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Excluindo-se a fase G0, que por vezes não tem fim, qual a fase costuma ser a mais longa do ciclo celular?;Fase G1;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;349,249,13;circle;Biologia Celular II;Ciclo Celular;;;;
29;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Quanto tempo aproximadamente dura a fase S em mamíferos?;10 a 12h;1h a 2h;24h;8 a 9h;tempo;88,252,11;circle;Biologia Celular II;Ciclo Celular;;;;
31;Este é o ciclo celular.;Biologia celular II/ciclo celular/zigoto.png;Durante as clivagens de uma célula ovo quais as fases do ciclo celular que se repetem sucessivamente?;S e M;G1 e G2;G2 e S2;G1 e S1;conjunto_fases_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
32;Este é o processo de clivagem de um zigoto humano.;Biologia celular II/ciclo celular/zigoto.png;Em quantas horas após a fecundação aproximadamente formam-se 8 células?;3h;5h;8h;12h;tempo;-;-;Biologia Celular II;Ciclo Celular;;;;
33;Este é o processo de clivagem de um zigoto humano.;Biologia celular II/ciclo celular/clivagem.jpg;Em quantas horas após a fecundação aproximadamente formam-se 64 células?;4h;6h;8h;12h;tempo;-;-;Biologia Celular II;Ciclo Celular;;;;
34;Esta é uma célula em processo de divisão.;Biologia celular II/ciclo celular/desenho ciclo celular.png;O controle do ciclo celular é exercido pelos(as):;Moléculas do citoplasma;Cromossomos do núcleo;Mitocondrias;Ribossomos;elemento_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
35; Esse desenho representa o fator promotor de mitose, ou MPF (de M-phase promoting factor) ;Biologia celular II/ciclo celular/mpf.png;É formado pela união de que substâncias?;Ciclina-M e Cdk-M;cAMP e PIP2;SOD e COX;RhoA e IP3;2_biomoleculas;-;-;Biologia Celular II;Ciclo Celular;;;;
36;Esta é uma quinase unida a um CDK.;Biologia celular II/ciclo celular/mpf.png;O que são as quinases?;Enzimas;Bases nitrogenadas;Vitaminas;Ácidos graxos;Grupo_biomoleculas;154,70,156,50,167,35,179,26,197,20,217,14,235,14,254,16,272,26,285,37,296,52,303,73,306,93,303,113,300,130,289,148,278,158,267,166,250,174,234,174,212,175,193,173,202,157,205,140,203,124,196,113,184,102,171,99,161,98,153,98,145,95,145,86,150,79;poly;Biologia Celular II;Ciclo Celular;;;;
37;Esta é uma proteína passando pelo processo de fosforilação.;Biologia celular II/ciclo celular/fosforilacao.png;O que acontece neste processo?;Adição de um grupo fosfato;Retirada de um grupo fosfato;Degradação da fosfatase;Liberação de energia;fato_bioquimico;-;-;Biologia Celular II;Ciclo Celular;;;;
39;Durante o ciclo celular, há uma proteína cuja concentração vai aumentando gradativamente durante a fase S, caindo abruptamente quando a célula entra na fase M.;Biologia celular II/ciclo celular/ciclo_mpf;Qual o nome da proteína?;Ciclina-M;CDK-M;MPF;WEE1;biomolecula_alternativo;-;-;Biologia Celular II;Ciclo Celular;;;;
40;No ciclo celular, há substâncias que estão presentes permanentemente no citoplasma, mas que só atuam no processo de mitose quando ativadas.;Biologia celular II/ciclo celular/mpf.png;Qual dessas é uma substância que é ativada pela ciclina?;CDK-M;WEE1;Cdc25;CAK;biomolecula;69,102,56,112,37,124,28,134,20,150,16,166,14,180,19,204,26,216,35,228,50,241,66,251,80,258,96,262,113,266,127,266,142,266,159,262,171,254,181,244,182,234,175,224,164,221,128,220,103,198,116,186,126,176,174,173,190,161,195,146,193,133,189,121,177,110,162,107,147,107,138,105,134,94,141,81,144,62,137,48,124,41,110,38,97,38,82,44,72,55,68,64,68,87;poly;Biologia Celular II;Ciclo Celular;;;;
41;Este é o ciclo de concentração das diversas ciclinas.;Biologia celular II/ciclo celular/g1S.png;Qual o nome da ciclina que ativa CDKs na fase avançada de G1 contribuindo para que seja atingido o ponto de start?;Ciclinas G1/S;Ciclinas-S;Ciclinas-G1;Ciclina-M;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
42;Este é o ciclo de concentração das diversas ciclinas.;Biologia celular II/ciclo celular/g1S.png;Qual a ciclina que liga-se à CDK logo após o ponto de start e ajuda a estimular a duplicação dos cromossomos?;Ciclinas-S;Ciclinas G1/S;Ciclina-M;Ciclinas-G1;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
43;Este é o ciclo celular.;Biologia celular II/ciclo celular/g1S.png;Qual a ciclina que ativa a CDk gerando estímulo ao início da mitose a partir do ponto de checagem de G2/M?;Ciclina-M;Ciclinas-S;Ciclinas G1/S;Ciclinas-G2;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
45;Ao longo do ciclo celular existem três pontos de checagem.;Biologia celular II/ciclo celular/pontos_de_checagem.png;Em que fases há pontos de checagem?;G1, G2 e M;G1, S e M;G1,G2 e S;G2, S e M;3_conjunto_fases_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
46;No ciclo celular são feitas 3 checagens para que uma nova fase possa ser iniciada. Um somatório de sinais responde à pergnta “O ambiente é favorável?”;Biologia celular II/ciclo celular/pontos_de_checagem.png;Em qual fase é feita essa chegagem?;G1;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
47;O fator de crescimento derivado de plaquetas, (PDGF :Platelet Derived Growth Factor) secretado pelas plaquetas contribuem para o processo de cicatrização, estimulando a proliferação celular no local ferido.;Biologia celular II/ciclo celular/mitogeno.png;Que tipo de moléculas representam os PDGF?;Mitógeno;Glucagon;Adrenalina;Insulina;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
48;Este é o ciclo celular.;Biologia celular II/ciclo celular/PGDF.png;O que é o fator de crescimento derivado de plaquetas (Platelet Derived Growth Factor – PDGF)?;Mitógeno;Glucagon;Adrenalina;Insulina;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
49;Ao longo do ciclo celular existem três pontos de checagem.;Biologia celular II/ciclo celular/pontos_de_checagem.png;Em que fase há o ponto de checagem em que é conferido se o DNA está total e corretamente duplicado?;G2;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
50;Ao longo do ciclo celular existem três pontos de checagem.;Biologia celular II/ciclo celular/pontos_de_checagem.png;Em que fase há  o ponto de checagem que representa a última chance de eliminar uma célula defeituosa?;Fase M;Sorteio;Sorteio;Sorteio;fase_ciclo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
51;No ciclo celular, para garantir que a Cdk-M não comece a fosforilar as proteínas da fase M antes da hora, o complexo ciclinaM/Cdk-M é inicialmente inativo.;Biologia celular II/ciclo celular/CDK sem resposta.png;Por que processo o complexo ciclinaM/Cdk-M precisa passar para tornar-se ativo?;Fosforilação;Sorteio;Sorteio;Sorteio;processo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
52;No ciclo celular, para garantir que a Cdk-M não comece a fosforilar as proteínas da fase M antes da hora, o complexo ciclinaM/Cdk-M é inicialmente inativo.;Biologia celular II/ciclo celular/CDK sem resposta.png;Quais são as quinases que fosforilam a CDK-M?;CAK e WEE1;Sorteio;RhoA e IP3;cAMP e PIP2;2_biomoleculas;-;-;Biologia Celular II;Ciclo Celular;;;;
53;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Qual o nome do fosfato inibidor da CDK-M que deve ser retirado para que tenha início a mitose?;cdc25;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
54;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Uma vez encerrada uma etapa do ciclo celular, que estrutura celular é responsável por degradar as ciclinas que estão ativando as quinases?;Proteossoma;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
55;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Ao fim de cada etapa as ciclinas são ubiquitinadas para serem reconhecidas e degradadas por qual estrutura da célula?;Proteossoma;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
56;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;No ponto de checagem de G1, danos na estrutura do DNA induzem o aumento da concentração e da atividade de que proteína reguladora da atividade gênica?;P53;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
57;Quando ativa, a p53 estimula a transcrição de um gene que codifica uma proteína inibidora de Cdk.;Biologia celular II/ciclo celular/ciclo.png;Qual é ela?;P21;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
58;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Qual a proteína se liga aos complexos ciclina-Cdk da fase S, responsáveis por levar a célula à fase S, bloqueando sua ação?;P21;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
59;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;O início dos processos de diferenciação celular de um embrião humano ocorre a partir de sua clivagem em quantas células?;8;16;32;64;numero;-;-;Biologia Celular II;Ciclo Celular;;;;
60;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;As células do epitélio intestinal se dividem a cada quanto tempo?;24h;Sorteio;Sorteio;Sorteio;tempo;-;-;Biologia Celular II;Ciclo Celular;;;;
61;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Em condições de normalidade, os hepatócitos se dividem a cada quanto tempo?;1 ano;Sorteio;Sorteio;Sorteio;tempo;-;-;Biologia Celular II;Ciclo Celular;;;;
62;Este é o ciclo celular.;Biologia celular II/ciclo celular/ciclo.png;Como é chamado o estado em que a célula suspende temporariamente sua divisão e atividade proliferativa, mantendo-se metabolicamente ativa.;Quiescência;Sorteio;Sorteio;Sorteio;processo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
63;Células com grau ainda maior de especialização, como os neurônios e as células musculares não se dividem, permanecendo em G0.;Biologia celular II/ciclo celular/ciclo.png;Como é o nome desta condição irreversível?;Diferenciação terminal;Paralisia;Fim da linha;RIP;processo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
64;A cada replicação, a ponta do cromossomo, o telômero, precisa ser restaurada por uma enzima.;Biologia celular II/ciclo celular/ciclo.png;Qual é ela?;Telomerase;Sorteio;Sorteio;Sorteio;biomolecula;-;-;Biologia Celular II;Ciclo Celular;;;;
65;A cada replicação, a ponta do cromossomo, precisa ser restaurada por uma enzima, a telomerase.;Biologia celular II/ciclo celular/ciclo.png;Como chamamos a ponta do cromossomo?;Telômero;Parênquima;Telóstaro;Telomátide;estrutura;-;-;Biologia Celular II;Ciclo Celular;;;;
66;Nas células humanas, o gene que codifica a telomerase não é expresso em células somáticas do adulto. Por isso, a cada divisão celular, o telômero fica mais curto, até que não é mais possível replicar o cromossomo corretamente.;Biologia celular II/ciclo celular/ciclo.png;Porém, as células podem se manter por longo tempo numa situação, denominada:;senescência celular;Paralisia;Fim da linha;RIP;processo_celular;-;-;Biologia Celular II;Ciclo Celular;;;;
